Week,Market,Site,RRC_SR_pct,ERAB_SR_pct,DCR_pct,DL_Throughput_Mbps,Congestion_pct,CQx_Score,CQx_Status
2026-05-04,Anchorage,ANC-004,97.55,98.8,2.27,38.01,53.17,78.37,Green
2026-05-11,Anchorage,ANC-004,97.39,98.77,0.96,19.83,68.35,72.61,Yellow
2026-05-18,Anchorage,ANC-004,98.17,98.79,2.25,34.44,82.05,73.48,Yellow
2026-05-25,Anchorage,ANC-004,97.98,98.84,1.57,19.1,59.04,73.93,Yellow
2026-06-01,Anchorage,ANC-004,97.33,98.26,1.7,23.3,70.91,72.66,Yellow
2026-06-08,Anchorage,ANC-004,97.9,98.89,2.66,32.57,50.52,77.73,Green
2026-06-15,Anchorage,ANC-004,98.12,99.14,1.53,30.43,50.41,77.61,Green
2026-06-22,Anchorage,ANC-004,97.11,99.32,2.85,20.76,61.92,73.54,Yellow
2026-06-29,Anchorage,ANC-004,97.36,98.68,1.73,25.04,57.8,75.09,Green
2026-07-06,Anchorage,ANC-004,97.3,99.02,1.97,30.04,50.15,77.27,Green
2026-07-13,Anchorage,ANC-004,97.39,99.24,2.22,24.13,58.21,74.92,Yellow
2026-07-20,Anchorage,ANC-004,97.85,98.15,2.24,26.65,61.98,74.7,Yellow
2026-07-27,Anchorage,ANC-004,97.32,98.09,1.26,32.33,59.49,76.21,Green
2026-08-03,Anchorage,ANC-004,97.27,99.19,1.25,31.42,47.73,78.05,Green
2026-05-04,Anchorage,ANC-005,99.08,96.4,1.58,27.39,13.04,82.15,Green
2026-05-11,Anchorage,ANC-005,99.23,95.54,0.85,41.04,7.18,85.7,Green
2026-05-18,Anchorage,ANC-005,98.85,96.38,1.25,35.18,18.14,82.94,Green
2026-05-25,Anchorage,ANC-005,98.81,96.81,1.02,32.52,5.34,84.46,Green
2026-06-01,Anchorage,ANC-005,98.86,96.47,1.34,53.03,15.77,86.87,Green
2026-06-08,Anchorage,ANC-005,98.61,97.2,1.03,20.12,0.74,82.71,Green
2026-06-15,Anchorage,ANC-005,98.07,96.5,1.22,49.84,11.42,86.71,Green
2026-06-22,Anchorage,ANC-005,98.65,97.03,0.21,38.31,14.97,84.3,Green
2026-06-29,Anchorage,ANC-005,98.21,97.17,1.36,33.1,13.86,83.18,Green
2026-07-06,Anchorage,ANC-005,99.52,96.74,1.32,32.75,2.0,85.12,Green
2026-07-13,Anchorage,ANC-005,99.02,96.27,1.24,32.6,12.63,83.26,Green
2026-07-20,Anchorage,ANC-005,98.84,97.12,0.98,34.27,0.97,85.55,Green
2026-07-27,Anchorage,ANC-005,98.57,96.83,1.55,29.05,15.76,82.06,Green
2026-08-03,Anchorage,ANC-005,99.2,96.84,2.05,30.23,0.0,84.75,Green
2026-05-04,Anchorage,ANC-006,98.02,98.72,2.98,60.11,33.6,85.72,Green
2026-05-11,Anchorage,ANC-006,98.17,99.44,1.98,52.75,36.49,84.18,Green
2026-05-18,Anchorage,ANC-006,98.58,99.83,2.59,54.98,24.8,86.49,Green
2026-05-25,Anchorage,ANC-006,97.87,99.25,2.37,45.53,44.96,81.29,Green
2026-06-01,Anchorage,ANC-006,97.86,99.03,1.42,45.83,39.31,82.28,Green
2026-06-08,Anchorage,ANC-006,97.94,98.64,1.29,56.39,46.07,83.32,Green
2026-06-15,Anchorage,ANC-006,97.83,98.55,1.76,56.89,11.15,88.54,Green
2026-06-22,Anchorage,ANC-006,97.9,99.12,2.19,73.86,41.73,87.44,Green
2026-06-29,Anchorage,ANC-006,97.82,98.73,3.03,59.55,32.83,85.67,Green
2026-07-06,Anchorage,ANC-006,97.91,99.31,1.81,54.48,28.35,85.68,Green
2026-07-13,Anchorage,ANC-006,97.91,98.98,1.55,59.92,30.68,86.37,Green
2026-07-20,Anchorage,ANC-006,98.44,98.03,2.37,69.04,16.13,90.15,Green
2026-07-27,Anchorage,ANC-006,97.8,99.06,1.24,52.85,23.84,86.02,Green
2026-08-03,Anchorage,ANC-006,98.53,99.65,2.45,64.85,23.69,88.59,Green
2026-05-04,Anchorage,ANC-007,97.46,96.64,2.78,43.73,41.28,80.66,Green
2026-05-11,Anchorage,ANC-007,97.95,96.33,2.74,44.92,41.69,80.89,Green
2026-05-18,Anchorage,ANC-007,97.66,96.25,2.88,38.7,39.98,79.79,Green
2026-05-25,Anchorage,ANC-007,97.91,96.5,1.83,27.72,49.01,76.52,Green
2026-06-01,Anchorage,ANC-007,97.1,97.6,1.52,53.75,45.85,82.32,Green
2026-06-08,Anchorage,ANC-007,97.51,96.57,2.64,39.88,52.99,78.15,Green
2026-06-15,Anchorage,ANC-007,97.59,96.88,2.3,39.72,46.63,79.22,Green
2026-06-22,Anchorage,ANC-007,96.95,96.21,2.79,41.54,42.69,79.77,Green
2026-06-29,Anchorage,ANC-007,97.55,96.97,2.22,33.95,45.73,78.23,Green
2026-07-06,Anchorage,ANC-007,97.2,97.0,1.69,48.41,47.95,80.79,Green
2026-07-13,Anchorage,ANC-007,97.63,97.25,3.21,48.29,29.44,83.48,Green
2026-07-20,Anchorage,ANC-007,97.1,96.53,2.47,44.32,38.36,81.15,Green
2026-07-27,Anchorage,ANC-007,97.61,96.47,2.18,28.92,36.78,78.46,Green
2026-08-03,Anchorage,ANC-007,97.07,96.37,2.93,32.58,65.22,74.65,Yellow
2026-05-04,Anchorage,ANC-008,98.82,99.37,3.43,42.5,16.07,85.12,Green
2026-05-11,Anchorage,ANC-008,98.78,99.29,3.07,38.25,21.37,83.5,Green
2026-05-18,Anchorage,ANC-008,99.27,99.06,2.56,51.05,11.85,87.63,Green
2026-05-25,Anchorage,ANC-008,98.48,98.98,2.17,42.67,11.84,85.8,Green
2026-06-01,Anchorage,ANC-008,99.09,98.71,2.45,48.15,11.35,87.01,Green
2026-06-08,Anchorage,ANC-008,99.4,99.69,2.48,42.71,0.0,87.94,Green
2026-06-15,Anchorage,ANC-008,99.18,99.4,2.4,33.06,0.0,85.9,Green
2026-06-22,Anchorage,ANC-008,99.4,99.29,2.58,43.5,7.11,86.92,Green
2026-06-29,Anchorage,ANC-008,99.35,99.08,2.32,39.57,3.4,86.67,Green
2026-07-06,Anchorage,ANC-008,98.92,99.41,2.06,53.32,0.0,89.94,Green
2026-07-13,Anchorage,ANC-008,98.96,99.11,2.93,44.84,15.13,85.78,Green
2026-07-20,Anchorage,ANC-008,98.51,99.43,2.68,43.93,15.39,85.56,Green
2026-07-27,Anchorage,ANC-008,98.85,99.94,3.31,40.37,3.31,86.78,Green
2026-08-03,Anchorage,ANC-008,99.54,100.0,2.04,39.91,4.62,86.87,Green
2026-05-04,Anchorage,ANC-009,95.94,93.62,1.54,43.14,0.0,85.79,Green
2026-05-11,Anchorage,ANC-009,95.56,96.19,3.49,37.85,2.54,84.61,Green
2026-05-18,Anchorage,ANC-009,98.81,93.66,0.78,39.23,0.8,85.72,Green
2026-05-25,Anchorage,ANC-009,97.11,97.49,1.25,26.95,1.14,83.68,Green
2026-06-01,Anchorage,ANC-009,95.65,93.8,0.1,37.89,18.12,82.21,Green
2026-06-08,Anchorage,ANC-009,95.16,97.63,1.6,51.42,11.58,86.5,Green
2026-06-15,Anchorage,ANC-009,96.04,97.65,0.93,7.74,28.5,75.56,Green
2026-06-22,Anchorage,ANC-009,98.76,94.47,1.14,42.39,9.28,85.22,Green
2026-06-29,Anchorage,ANC-009,98.28,97.49,4.02,21.86,49.52,75.28,Green
2026-07-06,Anchorage,ANC-009,97.78,96.46,3.33,33.87,16.17,82.41,Green
2026-07-13,Anchorage,ANC-009,95.22,96.37,5.46,34.53,6.61,82.99,Green
2026-07-20,Anchorage,ANC-009,96.99,97.34,2.85,13.84,5.69,80.07,Green
2026-07-27,Anchorage,ANC-009,98.44,97.57,2.49,55.49,17.52,87.1,Green
2026-08-03,Anchorage,ANC-009,97.24,94.58,4.66,30.2,18.75,80.48,Green
2026-05-04,Fairbanks,FAI-001,98.06,97.92,1.92,40.52,58.73,78.0,Green
2026-05-11,Fairbanks,FAI-001,98.71,97.84,1.93,51.46,30.37,84.58,Green
2026-05-18,Fairbanks,FAI-001,98.32,97.63,1.47,47.54,61.08,79.11,Green
2026-05-25,Fairbanks,FAI-001,98.63,97.68,2.18,60.99,54.1,82.83,Green
2026-06-01,Fairbanks,FAI-001,98.42,97.65,2.23,52.94,53.86,81.19,Green
2026-06-08,Fairbanks,FAI-001,98.63,98.41,1.68,60.33,48.28,83.83,Green
2026-06-15,Fairbanks,FAI-001,99.13,97.63,2.7,51.37,41.49,82.84,Green
2026-06-22,Fairbanks,FAI-001,98.23,97.8,2.11,53.97,42.11,83.17,Green
2026-06-29,Fairbanks,FAI-001,98.39,98.9,2.7,53.28,47.0,82.53,Green
2026-07-06,Fairbanks,FAI-001,98.44,98.22,1.46,47.73,33.35,83.49,Green
2026-07-13,Fairbanks,FAI-001,98.54,98.23,1.7,62.38,36.89,85.88,Green
2026-07-20,Fairbanks,FAI-001,97.89,98.04,2.39,63.26,43.03,84.82,Green
2026-07-27,Fairbanks,FAI-001,98.78,97.92,1.84,56.86,51.92,82.48,Green
2026-08-03,Fairbanks,FAI-001,97.85,98.6,2.54,44.79,49.87,80.21,Green
2026-05-04,Fairbanks,FAI-002,99.14,99.75,1.03,42.23,69.46,77.6,Green
2026-05-11,Fairbanks,FAI-002,98.15,99.74,0.1,42.29,54.33,79.77,Green
2026-05-18,Fairbanks,FAI-002,98.69,99.75,0.57,47.96,62.91,79.68,Green
2026-05-25,Fairbanks,FAI-002,99.31,99.26,0.21,53.16,59.33,81.34,Green
2026-06-01,Fairbanks,FAI-002,98.6,99.03,1.46,51.99,60.49,80.51,Green
2026-06-08,Fairbanks,FAI-002,99.02,99.08,1.72,48.25,66.72,78.91,Green
2026-06-15,Fairbanks,FAI-002,99.51,99.33,0.67,43.62,62.71,78.93,Green
2026-06-22,Fairbanks,FAI-002,99.13,99.55,0.81,51.05,62.64,80.37,Green
2026-06-29,Fairbanks,FAI-002,99.17,98.33,1.2,47.96,71.27,78.1,Green
2026-07-06,Fairbanks,FAI-002,98.13,100.0,0.72,54.06,54.96,81.99,Green
2026-07-13,Fairbanks,FAI-002,99.36,98.75,0.5,60.5,61.76,82.29,Green
2026-07-20,Fairbanks,FAI-002,99.22,99.62,1.01,46.39,66.2,78.91,Green
2026-07-27,Fairbanks,FAI-002,99.99,99.2,0.88,53.6,72.13,79.57,Green
2026-08-03,Fairbanks,FAI-002,99.56,99.51,0.27,58.26,54.11,83.26,Green
2026-05-04,Fairbanks,FAI-003,97.86,98.66,3.72,32.73,61.68,75.87,Green
2026-05-11,Fairbanks,FAI-003,98.08,99.01,2.45,33.88,69.24,75.3,Green
2026-05-18,Fairbanks,FAI-003,97.64,99.09,2.93,30.1,62.25,75.43,Green
2026-05-25,Fairbanks,FAI-003,97.75,97.98,2.35,41.85,56.85,78.42,Green
2026-06-01,Fairbanks,FAI-003,97.4,97.5,2.71,18.51,76.77,70.51,Yellow
2026-06-08,Fairbanks,FAI-003,98.1,98.16,4.01,36.95,61.03,76.7,Green
2026-06-15,Fairbanks,FAI-003,96.87,99.5,2.37,15.93,71.81,71.15,Yellow
2026-06-22,Fairbanks,FAI-003,98.6,99.1,3.25,33.86,70.46,75.14,Green
2026-06-29,Fairbanks,FAI-003,98.01,98.6,3.05,28.6,57.6,75.78,Green
2026-07-06,Fairbanks,FAI-003,97.65,97.71,2.95,21.19,54.8,74.41,Yellow
2026-07-13,Fairbanks,FAI-003,97.81,99.1,3.41,16.53,55.71,73.67,Yellow
2026-07-20,Fairbanks,FAI-003,98.07,98.03,2.9,33.5,55.88,76.91,Green
2026-07-27,Fairbanks,FAI-003,97.78,97.87,2.73,31.66,50.89,77.2,Green
2026-08-03,Fairbanks,FAI-003,97.9,98.46,3.25,30.89,74.54,73.6,Yellow
2026-05-04,Fairbanks,FAI-004,97.35,98.1,2.24,90.13,44.2,89.92,Green
2026-05-11,Fairbanks,FAI-004,97.36,98.08,3.27,73.78,64.13,83.5,Green
2026-05-18,Fairbanks,FAI-004,97.36,98.53,2.49,93.3,44.65,90.56,Green
2026-05-25,Fairbanks,FAI-004,97.71,98.68,3.05,74.65,53.11,85.6,Green
2026-06-01,Fairbanks,FAI-004,97.62,98.33,3.3,93.82,49.69,89.8,Green
2026-06-08,Fairbanks,FAI-004,97.12,98.36,4.03,69.71,67.26,82.12,Green
2026-06-15,Fairbanks,FAI-004,98.19,98.15,3.12,89.16,51.12,88.78,Green
2026-06-22,Fairbanks,FAI-004,97.53,98.14,2.41,70.94,44.36,86.09,Green
2026-06-29,Fairbanks,FAI-004,97.61,98.05,2.97,63.69,56.8,82.69,Green
2026-07-06,Fairbanks,FAI-004,97.89,97.5,3.04,85.96,44.47,88.91,Green
2026-07-13,Fairbanks,FAI-004,98.19,98.59,2.55,75.69,58.62,85.16,Green
2026-07-20,Fairbanks,FAI-004,97.63,98.64,2.45,77.49,42.84,87.77,Green
2026-07-27,Fairbanks,FAI-004,97.56,97.99,2.54,86.03,62.88,86.28,Green
2026-08-03,Fairbanks,FAI-004,97.81,97.91,2.73,85.84,55.29,87.4,Green
2026-05-04,Fairbanks,FAI-005,98.95,98.8,0.19,78.55,0.0,95.12,Green
2026-05-11,Fairbanks,FAI-005,98.88,97.87,0.1,92.31,32.61,92.74,Green
2026-05-18,Fairbanks,FAI-005,98.7,98.75,0.58,88.41,20.02,93.95,Green
2026-05-25,Fairbanks,FAI-005,98.6,98.49,0.69,83.85,20.6,92.85,Green
2026-06-01,Fairbanks,FAI-005,98.64,98.03,0.78,82.01,12.89,93.52,Green
2026-06-08,Fairbanks,FAI-005,98.7,98.86,0.75,89.0,19.2,94.19,Green
2026-06-15,Fairbanks,FAI-005,99.18,98.62,0.55,78.7,4.14,94.49,Green
2026-06-22,Fairbanks,FAI-005,98.59,98.1,0.46,89.65,16.9,94.5,Green
2026-06-29,Fairbanks,FAI-005,98.67,98.59,0.57,73.39,5.15,93.14,Green
2026-07-06,Fairbanks,FAI-005,98.65,97.83,0.81,101.44,22.41,95.64,Green
2026-07-13,Fairbanks,FAI-005,98.62,99.04,0.61,86.5,7.76,95.46,Green
2026-07-20,Fairbanks,FAI-005,98.59,98.2,0.62,90.48,12.69,95.3,Green
2026-07-27,Fairbanks,FAI-005,98.85,98.91,0.97,77.32,0.0,94.76,Green
2026-08-03,Fairbanks,FAI-005,99.03,97.76,0.44,79.84,0.0,95.1,Green
2026-05-04,Fairbanks,FAI-006,99.21,98.88,1.71,27.4,29.85,80.27,Green
2026-05-11,Fairbanks,FAI-006,99.61,98.75,1.94,35.51,28.7,82.1,Green
2026-05-18,Fairbanks,FAI-006,99.39,98.28,2.18,18.86,28.59,78.58,Green
2026-05-25,Fairbanks,FAI-006,100.0,98.08,1.65,37.71,28.29,82.57,Green
2026-06-01,Fairbanks,FAI-006,99.17,99.17,2.1,40.55,35.39,82.07,Green
2026-06-08,Fairbanks,FAI-006,99.23,99.67,2.1,31.87,32.36,80.93,Green
2026-06-15,Fairbanks,FAI-006,99.86,99.4,2.39,19.91,33.65,78.39,Green
2026-06-22,Fairbanks,FAI-006,99.17,99.61,2.44,23.02,31.45,79.21,Green
2026-06-29,Fairbanks,FAI-006,98.93,98.26,2.92,20.68,21.59,79.76,Green
2026-07-06,Fairbanks,FAI-006,99.59,99.23,2.7,33.91,23.91,82.5,Green
2026-07-13,Fairbanks,FAI-006,98.91,99.38,2.23,23.93,40.59,77.93,Green
2026-07-20,Fairbanks,FAI-006,99.6,98.91,3.35,20.79,37.39,77.67,Green
2026-07-27,Fairbanks,FAI-006,99.42,98.82,3.06,30.0,34.28,79.96,Green
2026-08-03,Fairbanks,FAI-006,99.78,98.54,2.0,17.58,14.24,80.66,Green
2026-05-04,Fairbanks,FAI-007,98.62,98.71,3.23,40.79,10.95,85.36,Green
2026-05-11,Fairbanks,FAI-007,98.61,98.23,3.57,49.39,18.17,85.83,Green
2026-05-18,Fairbanks,FAI-007,98.74,98.87,2.93,35.08,15.49,83.66,Green
2026-05-25,Fairbanks,FAI-007,98.28,98.1,3.11,55.37,12.46,87.83,Green
2026-06-01,Fairbanks,FAI-007,98.62,99.1,2.95,66.27,16.81,89.72,Green
2026-06-08,Fairbanks,FAI-007,97.89,98.68,3.02,55.78,17.68,87.19,Green
2026-06-15,Fairbanks,FAI-007,98.46,97.79,2.75,38.65,7.65,85.23,Green
2026-06-22,Fairbanks,FAI-007,98.72,99.09,3.02,35.89,15.85,83.8,Green
2026-06-29,Fairbanks,FAI-007,98.93,98.06,2.79,45.58,6.01,87.04,Green
2026-07-06,Fairbanks,FAI-007,98.74,98.28,3.04,38.36,8.79,85.15,Green
2026-07-13,Fairbanks,FAI-007,98.76,98.17,3.62,42.26,14.09,85.03,Green
2026-07-20,Fairbanks,FAI-007,98.84,97.7,2.05,33.25,22.39,82.12,Green
2026-07-27,Fairbanks,FAI-007,98.32,99.49,2.59,46.94,24.63,84.76,Green
2026-08-03,Fairbanks,FAI-007,99.21,99.27,3.39,53.65,17.03,87.29,Green
2026-05-04,Fairbanks,FAI-008,98.36,99.41,1.69,43.37,0.0,87.86,Green
2026-05-11,Fairbanks,FAI-008,98.05,98.65,0.81,30.89,7.54,84.1,Green
2026-05-18,Fairbanks,FAI-008,98.65,99.26,1.18,46.38,18.28,85.83,Green
2026-05-25,Fairbanks,FAI-008,98.32,98.87,1.21,28.57,17.22,82.25,Green
2026-06-01,Fairbanks,FAI-008,98.78,99.67,1.43,22.59,9.64,82.47,Green
2026-06-08,Fairbanks,FAI-008,97.5,99.12,1.58,27.82,0.0,84.48,Green
2026-06-15,Fairbanks,FAI-008,98.3,98.74,1.12,8.57,8.29,79.56,Green
2026-06-22,Fairbanks,FAI-008,98.74,99.72,1.44,26.73,12.26,82.91,Green
2026-06-29,Fairbanks,FAI-008,97.77,99.11,1.99,41.37,7.71,86.04,Green
2026-07-06,Fairbanks,FAI-008,98.05,98.58,1.27,29.74,11.45,83.2,Green
2026-07-13,Fairbanks,FAI-008,98.44,98.61,2.32,29.38,8.34,83.54,Green
2026-07-20,Fairbanks,FAI-008,97.86,97.88,2.04,37.44,6.26,85.18,Green
2026-07-27,Fairbanks,FAI-008,98.14,99.21,0.94,27.32,14.87,82.43,Green
2026-08-03,Fairbanks,FAI-008,97.68,99.11,1.03,35.28,8.23,84.86,Green
2026-05-04,Fairbanks,FAI-009,98.97,98.07,0.15,38.35,21.95,83.61,Green
2026-05-11,Fairbanks,FAI-009,99.14,97.63,0.44,31.24,19.21,82.49,Green
2026-05-18,Fairbanks,FAI-009,98.52,96.23,0.8,45.09,0.0,87.59,Green
2026-05-25,Fairbanks,FAI-009,98.55,97.83,1.53,38.02,12.69,84.56,Green
2026-06-01,Fairbanks,FAI-009,98.84,98.17,0.32,31.46,14.66,83.3,Green
2026-06-08,Fairbanks,FAI-009,98.57,97.6,1.34,40.44,16.5,84.45,Green
2026-06-15,Fairbanks,FAI-009,98.8,96.85,1.01,37.23,17.08,83.65,Green
2026-06-22,Fairbanks,FAI-009,100.0,97.68,0.27,34.45,27.71,82.11,Green
2026-06-29,Fairbanks,FAI-009,98.94,96.9,1.02,32.51,33.51,80.28,Green
2026-07-06,Fairbanks,FAI-009,99.28,97.35,1.18,38.4,25.34,82.86,Green
2026-07-13,Fairbanks,FAI-009,99.07,97.17,0.32,46.1,15.84,85.85,Green
2026-07-20,Fairbanks,FAI-009,98.76,97.12,0.8,54.36,9.98,88.22,Green
2026-07-27,Fairbanks,FAI-009,98.91,98.18,0.57,41.47,10.02,85.98,Green
2026-08-03,Fairbanks,FAI-009,99.05,97.46,1.05,47.36,39.24,82.56,Green
2026-05-04,Fairbanks,FAI-010,99.21,99.76,0.1,96.3,26.78,94.97,Green
2026-05-11,Fairbanks,FAI-010,99.11,98.22,0.24,97.55,16.06,96.4,Green
2026-05-18,Fairbanks,FAI-010,98.8,98.94,0.89,91.55,14.33,95.46,Green
2026-05-25,Fairbanks,FAI-010,99.03,98.99,0.1,100.1,13.67,97.44,Green
2026-06-01,Fairbanks,FAI-010,99.58,99.86,0.96,83.72,19.47,93.54,Green
2026-06-08,Fairbanks,FAI-010,99.15,98.76,0.66,77.74,25.75,91.07,Green
2026-06-15,Fairbanks,FAI-010,98.99,99.26,0.64,85.11,20.94,93.35,Green
2026-06-22,Fairbanks,FAI-010,98.99,99.56,0.1,88.19,31.76,92.5,Green
2026-06-29,Fairbanks,FAI-010,98.8,98.87,0.75,88.61,19.05,94.17,Green
2026-07-06,Fairbanks,FAI-010,99.33,99.46,1.01,90.46,14.31,95.49,Green
2026-07-13,Fairbanks,FAI-010,99.39,100.0,0.45,79.38,25.1,91.89,Green
2026-07-20,Fairbanks,FAI-010,99.11,98.19,0.9,82.89,15.52,93.44,Green
2026-07-27,Fairbanks,FAI-010,99.27,99.26,0.83,83.69,20.35,93.19,Green
2026-08-03,Fairbanks,FAI-010,99.06,99.5,0.79,79.69,24.93,91.72,Green
2026-05-04,Mat-Su,MAT-001,99.33,97.19,2.65,32.14,53.62,77.12,Green
2026-05-11,Mat-Su,MAT-001,98.84,96.87,2.18,42.17,60.91,77.9,Green
2026-05-18,Mat-Su,MAT-001,99.37,97.27,2.69,43.86,39.8,81.56,Green
2026-05-25,Mat-Su,MAT-001,99.49,97.78,2.88,36.09,55.23,77.82,Green
2026-06-01,Mat-Su,MAT-001,98.46,97.65,2.36,19.92,51.31,74.96,Yellow
2026-06-08,Mat-Su,MAT-001,99.89,97.28,3.09,47.47,57.74,79.66,Green
2026-06-15,Mat-Su,MAT-001,99.98,97.68,2.69,21.75,45.25,76.57,Green
2026-06-22,Mat-Su,MAT-001,99.11,98.32,2.58,35.55,51.63,78.34,Green
2026-06-29,Mat-Su,MAT-001,99.42,98.11,2.38,36.13,41.28,80.06,Green
2026-07-06,Mat-Su,MAT-001,98.95,97.07,2.64,31.13,41.68,78.58,Green
2026-07-13,Mat-Su,MAT-001,98.92,97.31,1.98,40.65,47.88,79.71,Green
2026-07-20,Mat-Su,MAT-001,98.9,97.21,2.32,37.12,57.94,77.41,Green
2026-07-27,Mat-Su,MAT-001,98.75,97.4,2.58,39.94,48.93,79.3,Green
2026-08-03,Mat-Su,MAT-001,99.14,97.2,2.3,43.18,47.39,80.27,Green
2026-05-04,Mat-Su,MAT-002,98.0,97.89,3.1,40.25,8.83,85.23,Green
2026-05-11,Mat-Su,MAT-002,98.95,98.39,3.05,49.07,28.66,84.39,Green
2026-05-18,Mat-Su,MAT-002,98.54,98.21,2.01,30.42,19.79,82.0,Green
2026-05-25,Mat-Su,MAT-002,98.29,98.55,3.02,34.38,16.28,83.19,Green
2026-06-01,Mat-Su,MAT-002,98.69,98.81,2.49,47.46,20.7,85.39,Green
2026-06-08,Mat-Su,MAT-002,98.64,98.93,3.09,43.8,23.78,84.12,Green
2026-06-15,Mat-Su,MAT-002,98.42,98.77,2.47,37.05,21.22,83.15,Green
2026-06-22,Mat-Su,MAT-002,98.56,98.55,2.13,31.79,22.23,81.98,Green
2026-06-29,Mat-Su,MAT-002,98.69,98.14,3.55,29.25,29.24,80.14,Green
2026-07-06,Mat-Su,MAT-002,98.78,98.32,3.78,26.63,28.84,79.71,Green
2026-07-13,Mat-Su,MAT-002,98.99,98.3,3.61,34.18,23.79,82.05,Green
2026-07-20,Mat-Su,MAT-002,98.73,98.55,3.35,42.52,7.5,86.2,Green
2026-07-27,Mat-Su,MAT-002,99.09,97.86,3.45,45.19,12.76,85.85,Green
2026-08-03,Mat-Su,MAT-002,98.49,98.11,2.88,33.71,27.72,81.3,Green
2026-05-04,Mat-Su,MAT-003,97.27,96.21,1.49,74.4,18.96,90.18,Green
2026-05-11,Mat-Su,MAT-003,95.99,95.44,3.71,64.71,56.71,81.74,Green
